START OF DATA
"DATE/TIME", "EAST MW (MASL)", "WEST MW (MASL)", "INJECTOR STATION PRESSURE (PSI)", "VOLUME (L)", "FLOW (L/S)"
Mon Aug 05 2024 06:00:00,140.02170878473,140.550478585615,118.2,2772802.604393,0
Mon Aug 05 2024 06:15:00,140.020383117154,140.548439097037,117.6,2772823.045607,0
Mon Aug 05 2024 06:30:00,140.018343628576,140.535583813028,117.4,2773061.526437,0
Mon Aug 05 2024 06:45:00,140.017833756432,140.545583813028,117.2,2773461.265733,2.46051767000001
Mon Aug 05 2024 07:00:00,140.025998216711,140.542320631303,117.5,2774235.382078,0
Mon Aug 05 2024 07:15:00,140.022327137271,140.537527833145,117.7,2775087.477869,0
Mon Aug 05 2024 07:30:00,140.020695546409,140.539567321723,117.9,2775890.741871,0
Mon Aug 05 2024 07:45:00,140.020389623122,140.547323884287,117.8,2776223.857951,2.53622590600001
Mon Aug 05 2024 08:00:00,140.020797520838,140.548037705289,117.5,2776493.757684,0
Mon Aug 05 2024 08:15:00,140.019471853262,140.545896242282,117.7,2776493.757684,0
Mon Aug 05 2024 08:30:00,140.026412620395,140.543448855989,117.9,2777015.387182,0
Mon Aug 05 2024 08:45:00,140.018860006688,140.546508088856,117,2778094.229032,2.68764237800001
Mon Aug 05 2024 09:00:00,140.011007975663,140.54426465142,117,2779108.340371,2.42266355200001
Mon Aug 05 2024 09:15:00,140.019369878833,140.545488344567,117.4,2779980.498835,0
Mon Aug 05 2024 09:30:00,140.015086952819,140.548649551863,117.5,2780844.329397,0
Mon Aug 05 2024 09:45:00,140.02059357198,140.558241654147,117.1,2781623.366775,1.85485178200001
Mon Aug 05 2024 10:00:00,140.020389623122,140.548445603005,117,2782441.772417,0
Mon Aug 05 2024 10:15:00,140.02151134184,140.549771270581,117.2,2783260.178059,0
Mon Aug 05 2024 10:30:00,140.021409367411,140.550077193867,117.3,2784134.229228,0
Mon Aug 05 2024 10:45:00,140.022735034987,140.55262655459,117.7,2785026.071824,0
Mon Aug 05 2024 11:00:00,140.023550830418,140.546909480604,117.6,2785705.174378,2.38480943400001
Mon Aug 05 2024 11:15:00,140.026406114427,140.558031199322,117.2,2785902.394239,0
Mon Aug 05 2024 11:30:00,140.03262655459,140.56098845776,117.2,2786434.244344,0
Mon Aug 05 2024 11:45:00,140.028751526292,140.547521327177,117.6,2786739.726931,0
Mon Aug 05 2024 12:00:00,140.023142932702,140.552728529019,117.6,2786739.726931,0
Mon Aug 05 2024 12:15:00,140.02967580212,140.55354432445,116.9,2786894.928741,0.794936478000004
Mon Aug 05 2024 12:30:00,140.022225162842,140.557623301606,117.4,2787044.830977,0
Mon Aug 05 2024 12:45:00,140.025488344567,140.555889736315,117.1,2787044.830977,0
Mon Aug 05 2024 13:00:00,140.026712037714,140.556093685172,116.8,2787044.830977,0
Mon Aug 05 2024 13:15:00,140.018445603005,140.559866739042,117.3,2787044.830977,0
Mon Aug 05 2024 13:30:00,140.03079101487,140.554455588342,117.2,2787044.830977,0
Mon Aug 05 2024 13:45:00,140.03262655459,140.556699025778,117,2787044.830977,0
Mon Aug 05 2024 14:00:00,140.029254892468,140.560472079647,116.7,2787755.730975,0
